b,s,5758;
b,t,3604;
b,u,13782;
b,v,104;
b,w,834;
b,x,5;
b,y,702;
b,z,1016;
b,~,1;
b,‘,1;
b,’,5;
b,“,25;
b,–,6;
b,š,1;
b,œ,2;
b,·,1;
b,Ä,3;
b,Ö,2;
b,à,1;
b,á,18;
b,â,4;
b,ä,1646;
b,å,2;
b,æ,5;
b,è,6;
b,é,60;
b,ë,2;
b,í,3;
b,ò,1;
b,ó,6;
b,ö,420;
b,ø,10;
b,ú,15;
b,ü,2647;
c, ,2645;
c,!,5;
c,",3;
c,#,1;
c,&,3;
c,',3;
c,),138;
c,+,8;
c,,,201;
c,-,329;
c,.,704;
c,/,13;
c,1,30;
c,2,36;
c,3,9;
c,4,10;
c,5,7;
c,6,9;
c,7,1;
c,8,2;
c,:,36;
c,;,1;
c,=,13;
c,?,3;
c,],5;
c,a,8523;
c,b,93;
c,c,655;
c,d,435;
c,e,5640;
c,f,76;
c,g,66;
c,h,237403;
c,i,3950;
c,j,14;
c,k,17201;
c,l,2192;
c,m,320;
c,n,126;
c,o,10113;
c,p,65;
c,q,128;
c,r,1714;
c,s,485;
c,t,1892;
c,u,1879;
c,v,60;
